address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Heuston Bridge (South),100,23,False,25,"{'lat': 53.347106, 'lng': -6.292041}",1521486513000,False,HEUSTON BRIDGE (SOUTH),2,Dublin,OPEN
Cathal Brugha Street,24,8,False,20,"{'lat': 53.352149, 'lng': -6.260533}",1521486304000,False,CATHAL BRUGHA STREET,11,Dublin,OPEN
Sandwith Street,64,0,True,40,"{'lat': 53.345203, 'lng': -6.247163}",1521486117000,False,SANDWITH STREET,0,Dublin,CLOSED
Rothe Abbey,85,31,True,35,"{'lat': 53.338776, 'lng': -6.30395}",1521486177000,False,ROTHE ABBEY,4,Dublin,OPEN
Princes Street / O'Connell Street,33,3,True,23,"{'lat': 53.349013, 'lng': -6.260311}",1521486146000,False,PRINCES STREET / O'CONNELL STREET,20,Dublin,OPEN
Upper Sherrard Street,44,25,False,30,"{'lat': 53.358437, 'lng': -6.260641}",1521486634000,False,UPPER SHERRARD STREET,5,Dublin,OPEN
Fitzwilliam Square East,89,0,True,40,"{'lat': 53.335211, 'lng': -6.2509}",1521486400000,False,FITZWILLIAM SQUARE EAST,0,Dublin,CLOSED
Grattan Street,57,10,False,23,"{'lat': 53.339629, 'lng': -6.243778}",1521486448000,False,GRATTAN STREET,13,Dublin,OPEN
St James Hospital (Luas),80,38,False,40,"{'lat': 53.341359, 'lng': -6.292951}",1521486368000,False,ST JAMES HOSPITAL (LUAS),2,Dublin,OPEN
Harcourt Terrace,41,18,False,20,"{'lat': 53.332763, 'lng': -6.257942}",1521486542000,False,HARCOURT TERRACE,2,Dublin,OPEN
Bolton Street,3,12,False,20,"{'lat': 53.351182, 'lng': -6.269859}",1521486349000,False,BOLTON STREET,8,Dublin,OPEN
Strand Street Great,46,1,True,35,"{'lat': 53.347082, 'lng': -6.264192}",1521486309000,False,STRAND STREET GREAT,34,Dublin,OPEN
Jervis Street,40,5,True,21,"{'lat': 53.3483, 'lng': -6.266651}",1521486439000,False,JERVIS STREET,16,Dublin,OPEN
Ormond Quay Upper,29,1,True,29,"{'lat': 53.346057, 'lng': -6.268001}",1521486454000,False,ORMOND QUAY UPPER,28,Dublin,OPEN
Barrow Street,70,10,True,40,"{'lat': 53.341655, 'lng': -6.236198}",1521486462000,False,BARROW STREET,30,Dublin,OPEN
Mountjoy Square West,28,27,False,30,"{'lat': 53.356299, 'lng': -6.258586}",1521486335000,False,MOUNTJOY SQUARE WEST,3,Dublin,OPEN
Wilton Terrace,39,15,True,20,"{'lat': 53.332383, 'lng': -6.252717}",1521486614000,False,WILTON TERRACE,5,Dublin,OPEN
Emmet Road,83,33,False,40,"{'lat': 53.340714, 'lng': -6.308191}",1521486621000,False,EMMET ROAD,7,Dublin,OPEN
Heuston Bridge (North),92,7,False,40,"{'lat': 53.347802, 'lng': -6.292432}",1521486494000,False,HEUSTON BRIDGE (NORTH),33,Dublin,OPEN
Leinster Street South,21,5,False,30,"{'lat': 53.34218, 'lng': -6.254485}",1521486268000,False,LEINSTER STREET SOUTH,25,Dublin,OPEN
Blackhall Place,88,28,False,30,"{'lat': 53.3488, 'lng': -6.281637}",1521486614000,False,BLACKHALL PLACE,2,Dublin,OPEN
address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Smithfield North,42,17,True,30,"{'lat': 53.349562, 'lng': -6.278198}",1521486422000,False,SMITHFIELD NORTH,13,Dublin,OPEN
Parnell Square North,30,18,True,20,"{'lat': 53.353462, 'lng': -6.265305}",1521486898000,False,PARNELL SQUARE NORTH,2,Dublin,OPEN
Clonmel Street,54,12,False,33,"{'lat': 53.336021, 'lng': -6.26298}",1521486816000,False,CLONMEL STREET,21,Dublin,OPEN
Mount Street Lower,56,0,False,40,"{'lat': 53.33796, 'lng': -6.24153}",1521486533000,False,MOUNT STREET LOWER,40,Dublin,OPEN
Christchurch Place,6,3,False,20,"{'lat': 53.343368, 'lng': -6.27012}",1521486735000,False,CHRISTCHURCH PLACE,17,Dublin,OPEN
Grantham Street,18,0,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521486633000,False,GRANTHAM STREET,30,Dublin,OPEN
Pearse Street,32,25,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521486431000,False,PEARSE STREET,5,Dublin,OPEN
York Street East,52,29,False,32,"{'lat': 53.338755, 'lng': -6.262003}",1521486680000,False,YORK STREET EAST,3,Dublin,OPEN
Excise Walk,48,24,False,40,"{'lat': 53.347777, 'lng': -6.244239}",1521486549000,False,EXCISE WALK,16,Dublin,OPEN
Fitzwilliam Square West,13,7,False,30,"{'lat': 53.336074, 'lng': -6.252825}",1521486740000,False,FITZWILLIAM SQUARE WEST,23,Dublin,OPEN
Portobello Road,43,13,True,30,"{'lat': 53.330091, 'lng': -6.268044}",1521486596000,False,PORTOBELLO ROAD,17,Dublin,OPEN
St. James Hospital (Central),81,34,False,40,"{'lat': 53.339983, 'lng': -6.295594}",1521486374000,False,ST. JAMES HOSPITAL (CENTRAL),6,Dublin,OPEN
Parnell Street,31,17,False,20,"{'lat': 53.350929, 'lng': -6.265125}",1521486673000,False,PARNELL STREET,3,Dublin,OPEN
Frederick Street South,98,20,True,30,"{'lat': 53.341515, 'lng': -6.256853}",1521486613000,False,FREDERICK STREET SOUTH,10,Dublin,OPEN
Fownes Street Upper,14,8,False,30,"{'lat': 53.344603, 'lng': -6.263371}",1521486921000,False,FOWNES STREET UPPER,22,Dublin,OPEN
Clarendon Row,1,8,False,31,"{'lat': 53.340927, 'lng': -6.262501}",1521486848000,False,CLARENDON ROW,23,Dublin,OPEN
Custom House,23,0,True,30,"{'lat': 53.348279, 'lng': -6.254662}",1521486600000,False,CUSTOM HOUSE,30,Dublin,CLOSED
Hanover Quay,68,22,True,40,"{'lat': 53.344115, 'lng': -6.237153}",1521486938000,False,HANOVER QUAY,18,Dublin,OPEN
Oliver Bond Street,74,25,False,30,"{'lat': 53.343893, 'lng': -6.280531}",1521486807000,False,OLIVER BOND STREET,5,Dublin,OPEN
Collins Barracks Museum,87,32,True,38,"{'lat': 53.347477, 'lng': -6.28525}",1521486758000,False,COLLINS BARRACKS MUSEUM,6,Dublin,OPEN
Brookfield Road,84,27,False,30,"{'lat': 53.339005, 'lng': -6.300217}",1521486417000,False,BROOKFIELD ROAD,3,Dublin,OPEN
Benson Street,90,0,False,40,"{'lat': 53.344153, 'lng': -6.233451}",1521486355000,False,BENSON STREET,0,Dublin,CLOSED
Earlsfort Terrace,11,29,False,30,"{'lat': 53.334019, 'lng': -6.258371}",1521486502000,False,EARLSFORT TERRACE,1,Dublin,OPEN
Golden Lane,17,4,False,20,"{'lat': 53.340803, 'lng': -6.267732}",1521486705000,False,GOLDEN LANE,16,Dublin,OPEN
Deverell Place,45,18,False,30,"{'lat': 53.351464, 'lng': -6.255265}",1521486691000,False,DEVERELL PLACE,12,Dublin,OPEN
John Street West,72,9,False,31,"{'lat': 53.343105, 'lng': -6.277167}",1521486826000,False,JOHN STREET WEST,22,Dublin,OPEN
Fenian Street,63,0,False,35,"{'lat': 53.341428, 'lng': -6.24672}",1521486881000,False,FENIAN STREET,35,Dublin,OPEN
South Dock Road,91,0,False,30,"{'lat': 53.341833, 'lng': -6.231291}",1521486481000,False,SOUTH DOCK ROAD,30,Dublin,OPEN
City Quay,99,25,False,30,"{'lat': 53.346637, 'lng': -6.246154}",1521486428000,False,CITY QUAY,5,Dublin,OPEN
Exchequer Street,9,2,False,24,"{'lat': 53.343034, 'lng': -6.263578}",1521486910000,False,EXCHEQUER STREET,22,Dublin,OPEN
The Point,67,17,False,40,"{'lat': 53.346867, 'lng': -6.230852}",1521486739000,False,THE POINT,23,Dublin,OPEN
Hatch Street,55,33,False,36,"{'lat': 53.33403, 'lng': -6.260714}",1521486434000,False,HATCH STREET,3,Dublin,OPEN
Lime Street,62,20,False,40,"{'lat': 53.346026, 'lng': -6.243576}",1521486572000,False,LIME STREET,20,Dublin,OPEN
Charlemont Street,5,33,False,40,"{'lat': 53.330662, 'lng': -6.260177}",1521486693000,False,CHARLEMONT PLACE,7,Dublin,OPEN
Kilmainham Gaol,97,33,True,40,"{'lat': 53.342113, 'lng': -6.310015}",1521486600000,False,KILMAINHAM GAOL,7,Dublin,OPEN
Hardwicke Place,61,25,True,25,"{'lat': 53.357043, 'lng': -6.263232}",1521486926000,False,HARDWICKE PLACE,0,Dublin,OPEN
Wolfe Tone Street,77,8,False,29,"{'lat': 53.348875, 'lng': -6.267459}",1521486658000,False,WOLFE TONE STREET,21,Dublin,OPEN
Francis Street,73,12,True,30,"{'lat': 53.342081, 'lng': -6.275233}",1521486590000,False,FRANCIS STREET,18,Dublin,OPEN
Greek Street,4,15,False,20,"{'lat': 53.346874, 'lng': -6.272976}",1521486393000,False,GREEK STREET,5,Dublin,OPEN
Guild Street,49,39,False,40,"{'lat': 53.347932, 'lng': -6.240928}",1521486731000,False,GUILD STREET,1,Dublin,OPEN
Herbert Place,19,14,False,30,"{'lat': 53.334432, 'lng': -6.245575}",1521486904000,False,HERBERT PLACE,16,Dublin,OPEN
High Street,7,14,True,29,"{'lat': 53.343565, 'lng': -6.275071}",1521486929000,False,HIGH STREET,15,Dublin,OPEN
North Circular Road,60,20,True,30,"{'lat': 53.359624, 'lng': -6.260348}",1521486340000,False,NORTH CIRCULAR ROAD,10,Dublin,OPEN
Western Way,102,34,False,40,"{'lat': 53.354929, 'lng': -6.269425}",1521486828000,False,WESTERN WAY,6,Dublin,OPEN
Talbot Street,38,15,False,40,"{'lat': 53.350974, 'lng': -6.25294}",1521486891000,False,TALBOT STREET,25,Dublin,OPEN
Newman House,53,31,False,40,"{'lat': 53.337132, 'lng': -6.26059}",1521486422000,False,NEWMAN HOUSE,9,Dublin,OPEN
Sir Patrick's Dun,58,20,True,40,"{'lat': 53.339218, 'lng': -6.240642}",1521486509000,False,SIR PATRICK DUN'S,20,Dublin,OPEN
New Central Bank,66,32,False,40,"{'lat': 53.347122, 'lng': -6.234749}",1521486813000,False,NEW CENTRAL BANK,8,Dublin,OPEN
King Street North,101,23,False,30,"{'lat': 53.350291, 'lng': -6.273507}",1521486777000,False,KING STREET NORTH,7,Dublin,OPEN
Herbert Street,47,3,False,40,"{'lat': 53.335742, 'lng': -6.24551}",1521486600000,False,HERBERT STREET,37,Dublin,OPEN
Custom House Quay,8,13,False,30,"{'lat': 53.347884, 'lng': -6.248048}",1521486898000,False,CUSTOM HOUSE QUAY,17,Dublin,OPEN
Molesworth Street,27,12,False,20,"{'lat': 53.341288, 'lng': -6.258117}",1521486488000,False,MOLESWORTH STREET,8,Dublin,OPEN
Georges Quay,16,2,False,20,"{'lat': 53.347508, 'lng': -6.252192}",1521486812000,False,GEORGES QUAY,18,Dublin,OPEN
Kilmainham Lane,96,30,False,30,"{'lat': 53.341805, 'lng': -6.305085}",1521486532000,False,KILMAINHAM LANE,0,Dublin,OPEN
Mount Brown,82,14,False,22,"{'lat': 53.341645, 'lng': -6.29719}",1521486434000,False,MOUNT BROWN,8,Dublin,OPEN
Market Street South,76,28,False,38,"{'lat': 53.342296, 'lng': -6.287661}",1521486445000,False,MARKET STREET SOUTH,10,Dublin,OPEN
Kevin Street,71,23,True,40,"{'lat': 53.337757, 'lng': -6.267699}",1521486777000,False,KEVIN STREET,17,Dublin,OPEN
Eccles Street East,79,27,False,27,"{'lat': 53.358115, 'lng': -6.265601}",1521486856000,False,ECCLES STREET EAST,0,Dublin,OPEN
Grand Canal Dock,69,6,False,40,"{'lat': 53.342638, 'lng': -6.238695}",1521486847000,False,GRAND CANAL DOCK,34,Dublin,OPEN
Merrion Square East,25,0,False,30,"{'lat': 53.339434, 'lng': -6.246548}",1521486461000,False,MERRION SQUARE EAST,30,Dublin,CLOSED
York Street West,51,22,False,40,"{'lat': 53.339334, 'lng': -6.264699}",1521486564000,False,YORK STREET WEST,18,Dublin,OPEN
St. Stephen's Green South,37,25,True,30,"{'lat': 53.337494, 'lng': -6.26199}",1521486775000,False,ST. STEPHEN'S GREEN SOUTH,5,Dublin,OPEN
Denmark Street Great,59,19,False,20,"{'lat': 53.35561, 'lng': -6.261397}",1521486534000,False,DENMARK STREET GREAT,1,Dublin,OPEN
Royal Hospital,95,34,True,40,"{'lat': 53.343897, 'lng': -6.29706}",1521486623000,False,ROYAL HOSPITAL,6,Dublin,OPEN
Heuston Station (Car Park),94,17,False,40,"{'lat': 53.346985, 'lng': -6.297804}",1521486688000,False,HEUSTON STATION (CAR PARK),23,Dublin,OPEN
St. Stephen's Green East,36,19,True,40,"{'lat': 53.337824, 'lng': -6.256035}",1521486581000,False,ST. STEPHEN'S GREEN EAST,21,Dublin,OPEN
Heuston Station (Central),93,0,False,40,"{'lat': 53.346603, 'lng': -6.296924}",1521486815000,False,HEUSTON STATION (CENTRAL),40,Dublin,OPEN
Townsend Street,22,13,False,20,"{'lat': 53.345922, 'lng': -6.254614}",1521486922000,False,TOWNSEND STREET,7,Dublin,OPEN
Eccles Street,12,20,False,20,"{'lat': 53.359246, 'lng': -6.269779}",1521486489000,False,ECCLES STREET,0,Dublin,OPEN
Portobello Harbour,34,1,False,30,"{'lat': 53.330362, 'lng': -6.265163}",1521486928000,False,PORTOBELLO HARBOUR,29,Dublin,OPEN
Mater Hospital,78,35,False,40,"{'lat': 53.359967, 'lng': -6.264828}",1521486356000,False,MATER HOSPITAL,5,Dublin,OPEN
Blessington Street,2,20,True,20,"{'lat': 53.356769, 'lng': -6.26814}",1521486450000,False,BLESSINGTON STREET,0,Dublin,OPEN
James Street,75,40,True,40,"{'lat': 53.343456, 'lng': -6.287409}",1521486840000,False,JAMES STREET,0,Dublin,OPEN
Merrion Square West,26,15,True,20,"{'lat': 53.339764, 'lng': -6.251988}",1521486704000,False,MERRION SQUARE WEST,5,Dublin,CLOSED
Convention Centre,65,40,True,40,"{'lat': 53.34744, 'lng': -6.238523}",1521486676000,False,CONVENTION CENTRE,0,Dublin,OPEN
Hardwicke Street,15,16,False,16,"{'lat': 53.355473, 'lng': -6.264423}",1521486514000,False,HARDWICKE STREET,0,Dublin,OPEN
Parkgate Street,86,29,True,38,"{'lat': 53.347972, 'lng': -6.291804}",1521486870000,False,PARKGATE STREET,9,Dublin,OPEN
Smithfield,35,19,False,30,"{'lat': 53.347692, 'lng': -6.278214}",1521486731000,False,SMITHFIELD,11,Dublin,OPEN
Dame Street,10,2,True,16,"{'lat': 53.344007, 'lng': -6.266802}",1521486802000,False,DAME STREET,14,Dublin,OPEN
Heuston Bridge (South),100,23,False,25,"{'lat': 53.347106, 'lng': -6.292041}",1521486513000,False,HEUSTON BRIDGE (SOUTH),2,Dublin,OPEN
Cathal Brugha Street,24,9,False,20,"{'lat': 53.352149, 'lng': -6.260533}",1521486764000,False,CATHAL BRUGHA STREET,10,Dublin,OPEN
Sandwith Street,64,0,True,40,"{'lat': 53.345203, 'lng': -6.247163}",1521486725000,False,SANDWITH STREET,0,Dublin,CLOSED
Rothe Abbey,85,31,True,35,"{'lat': 53.338776, 'lng': -6.30395}",1521486787000,False,ROTHE ABBEY,4,Dublin,OPEN
Princes Street / O'Connell Street,33,4,True,23,"{'lat': 53.349013, 'lng': -6.260311}",1521486923000,False,PRINCES STREET / O'CONNELL STREET,19,Dublin,OPEN
Upper Sherrard Street,44,25,False,30,"{'lat': 53.358437, 'lng': -6.260641}",1521486634000,False,UPPER SHERRARD STREET,5,Dublin,OPEN
Fitzwilliam Square East,89,0,True,40,"{'lat': 53.335211, 'lng': -6.2509}",1521486400000,False,FITZWILLIAM SQUARE EAST,0,Dublin,CLOSED
Grattan Street,57,10,False,23,"{'lat': 53.339629, 'lng': -6.243778}",1521486448000,False,GRATTAN STREET,13,Dublin,OPEN
St James Hospital (Luas),80,38,False,40,"{'lat': 53.341359, 'lng': -6.292951}",1521486368000,False,ST JAMES HOSPITAL (LUAS),2,Dublin,OPEN
Harcourt Terrace,41,18,False,20,"{'lat': 53.332763, 'lng': -6.257942}",1521486542000,False,HARCOURT TERRACE,2,Dublin,OPEN
Bolton Street,3,12,False,20,"{'lat': 53.351182, 'lng': -6.269859}",1521486763000,False,BOLTON STREET,8,Dublin,OPEN
Strand Street Great,46,2,True,35,"{'lat': 53.347082, 'lng': -6.264192}",1521486918000,False,STRAND STREET GREAT,33,Dublin,OPEN
Jervis Street,40,5,True,21,"{'lat': 53.3483, 'lng': -6.266651}",1521486439000,False,JERVIS STREET,16,Dublin,OPEN
Ormond Quay Upper,29,1,True,29,"{'lat': 53.346057, 'lng': -6.268001}",1521486454000,False,ORMOND QUAY UPPER,28,Dublin,OPEN
Barrow Street,70,7,True,40,"{'lat': 53.341655, 'lng': -6.236198}",1521486901000,False,BARROW STREET,33,Dublin,OPEN
Mountjoy Square West,28,26,False,30,"{'lat': 53.356299, 'lng': -6.258586}",1521486696000,False,MOUNTJOY SQUARE WEST,4,Dublin,OPEN
Wilton Terrace,39,17,True,20,"{'lat': 53.332383, 'lng': -6.252717}",1521486840000,False,WILTON TERRACE,3,Dublin,OPEN
Emmet Road,83,33,False,40,"{'lat': 53.340714, 'lng': -6.308191}",1521486621000,False,EMMET ROAD,7,Dublin,OPEN
Heuston Bridge (North),92,7,False,40,"{'lat': 53.347802, 'lng': -6.292432}",1521486904000,False,HEUSTON BRIDGE (NORTH),33,Dublin,OPEN
Leinster Street South,21,6,False,30,"{'lat': 53.34218, 'lng': -6.254485}",1521486877000,False,LEINSTER STREET SOUTH,24,Dublin,OPEN
Blackhall Place,88,28,False,30,"{'lat': 53.3488, 'lng': -6.281637}",1521486878000,False,BLACKHALL PLACE,2,Dublin,OPEN
address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Smithfield North,42,17,True,30,"{'lat': 53.349562, 'lng': -6.278198}",1521486987000,False,SMITHFIELD NORTH,13,Dublin,OPEN
Parnell Square North,30,18,True,20,"{'lat': 53.353462, 'lng': -6.265305}",1521486898000,False,PARNELL SQUARE NORTH,2,Dublin,OPEN
Clonmel Street,54,11,False,33,"{'lat': 53.336021, 'lng': -6.26298}",1521487114000,False,CLONMEL STREET,22,Dublin,OPEN
Mount Street Lower,56,0,False,40,"{'lat': 53.33796, 'lng': -6.24153}",1521487142000,False,MOUNT STREET LOWER,40,Dublin,OPEN
Christchurch Place,6,3,False,20,"{'lat': 53.343368, 'lng': -6.27012}",1521486735000,False,CHRISTCHURCH PLACE,17,Dublin,OPEN
Grantham Street,18,0,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521486633000,False,GRANTHAM STREET,30,Dublin,OPEN
Pearse Street,32,25,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521487133000,False,PEARSE STREET,5,Dublin,OPEN
York Street East,52,29,False,32,"{'lat': 53.338755, 'lng': -6.262003}",1521486680000,False,YORK STREET EAST,3,Dublin,OPEN
Excise Walk,48,24,False,40,"{'lat': 53.347777, 'lng': -6.244239}",1521487158000,False,EXCISE WALK,16,Dublin,OPEN
Fitzwilliam Square West,13,7,False,30,"{'lat': 53.336074, 'lng': -6.252825}",1521486740000,False,FITZWILLIAM SQUARE WEST,23,Dublin,OPEN
Portobello Road,43,13,True,30,"{'lat': 53.330091, 'lng': -6.268044}",1521487020000,False,PORTOBELLO ROAD,17,Dublin,OPEN
St. James Hospital (Central),81,34,False,40,"{'lat': 53.339983, 'lng': -6.295594}",1521486982000,False,ST. JAMES HOSPITAL (CENTRAL),6,Dublin,OPEN
Parnell Street,31,18,False,20,"{'lat': 53.350929, 'lng': -6.265125}",1521487167000,False,PARNELL STREET,2,Dublin,OPEN
Frederick Street South,98,21,True,30,"{'lat': 53.341515, 'lng': -6.256853}",1521487221000,False,FREDERICK STREET SOUTH,9,Dublin,OPEN
Fownes Street Upper,14,9,False,30,"{'lat': 53.344603, 'lng': -6.263371}",1521486962000,False,FOWNES STREET UPPER,21,Dublin,OPEN
Clarendon Row,1,8,False,31,"{'lat': 53.340927, 'lng': -6.262501}",1521487236000,False,CLARENDON ROW,23,Dublin,OPEN
Custom House,23,0,True,30,"{'lat': 53.348279, 'lng': -6.254662}",1521487209000,False,CUSTOM HOUSE,30,Dublin,CLOSED
Hanover Quay,68,21,True,40,"{'lat': 53.344115, 'lng': -6.237153}",1521487216000,False,HANOVER QUAY,19,Dublin,OPEN
Oliver Bond Street,74,25,False,30,"{'lat': 53.343893, 'lng': -6.280531}",1521486807000,False,OLIVER BOND STREET,5,Dublin,OPEN
Collins Barracks Museum,87,32,True,38,"{'lat': 53.347477, 'lng': -6.28525}",1521486758000,False,COLLINS BARRACKS MUSEUM,6,Dublin,OPEN
Brookfield Road,84,27,False,30,"{'lat': 53.339005, 'lng': -6.300217}",1521487026000,False,BROOKFIELD ROAD,3,Dublin,OPEN
Benson Street,90,0,False,40,"{'lat': 53.344153, 'lng': -6.233451}",1521486964000,False,BENSON STREET,0,Dublin,CLOSED
Earlsfort Terrace,11,29,False,30,"{'lat': 53.334019, 'lng': -6.258371}",1521487112000,False,EARLSFORT TERRACE,1,Dublin,OPEN
Golden Lane,17,4,False,20,"{'lat': 53.340803, 'lng': -6.267732}",1521486705000,False,GOLDEN LANE,16,Dublin,OPEN
Deverell Place,45,18,False,30,"{'lat': 53.351464, 'lng': -6.255265}",1521486691000,False,DEVERELL PLACE,12,Dublin,OPEN
John Street West,72,8,False,31,"{'lat': 53.343105, 'lng': -6.277167}",1521487102000,False,JOHN STREET WEST,23,Dublin,OPEN
Fenian Street,63,0,False,35,"{'lat': 53.341428, 'lng': -6.24672}",1521486881000,False,FENIAN STREET,35,Dublin,OPEN
South Dock Road,91,0,False,30,"{'lat': 53.341833, 'lng': -6.231291}",1521487090000,False,SOUTH DOCK ROAD,30,Dublin,OPEN
City Quay,99,25,False,30,"{'lat': 53.346637, 'lng': -6.246154}",1521487037000,False,CITY QUAY,5,Dublin,OPEN
Exchequer Street,9,2,False,24,"{'lat': 53.343034, 'lng': -6.263578}",1521486910000,False,EXCHEQUER STREET,22,Dublin,OPEN
The Point,67,18,False,40,"{'lat': 53.346867, 'lng': -6.230852}",1521487015000,False,THE POINT,22,Dublin,OPEN
Hatch Street,55,34,False,36,"{'lat': 53.33403, 'lng': -6.260714}",1521487042000,False,HATCH STREET,2,Dublin,OPEN
Lime Street,62,20,False,40,"{'lat': 53.346026, 'lng': -6.243576}",1521487181000,False,LIME STREET,20,Dublin,OPEN
Charlemont Street,5,34,False,40,"{'lat': 53.330662, 'lng': -6.260177}",1521487195000,False,CHARLEMONT PLACE,6,Dublin,OPEN
Kilmainham Gaol,97,33,True,40,"{'lat': 53.342113, 'lng': -6.310015}",1521487209000,False,KILMAINHAM GAOL,7,Dublin,OPEN
Hardwicke Place,61,25,True,25,"{'lat': 53.357043, 'lng': -6.263232}",1521486926000,False,HARDWICKE PLACE,0,Dublin,OPEN
Wolfe Tone Street,77,8,False,29,"{'lat': 53.348875, 'lng': -6.267459}",1521487075000,False,WOLFE TONE STREET,21,Dublin,OPEN
Francis Street,73,12,True,30,"{'lat': 53.342081, 'lng': -6.275233}",1521487198000,False,FRANCIS STREET,18,Dublin,OPEN
Greek Street,4,15,False,20,"{'lat': 53.346874, 'lng': -6.272976}",1521487080000,False,GREEK STREET,5,Dublin,OPEN
Guild Street,49,39,False,40,"{'lat': 53.347932, 'lng': -6.240928}",1521486731000,False,GUILD STREET,1,Dublin,OPEN
Herbert Place,19,14,False,30,"{'lat': 53.334432, 'lng': -6.245575}",1521487102000,False,HERBERT PLACE,16,Dublin,OPEN
High Street,7,15,True,29,"{'lat': 53.343565, 'lng': -6.275071}",1521487078000,False,HIGH STREET,14,Dublin,OPEN
North Circular Road,60,21,True,30,"{'lat': 53.359624, 'lng': -6.260348}",1521487208000,False,NORTH CIRCULAR ROAD,9,Dublin,OPEN
Western Way,102,34,False,40,"{'lat': 53.354929, 'lng': -6.269425}",1521486828000,False,WESTERN WAY,6,Dublin,OPEN
Talbot Street,38,14,False,40,"{'lat': 53.350974, 'lng': -6.25294}",1521487233000,False,TALBOT STREET,26,Dublin,OPEN
Newman House,53,31,False,40,"{'lat': 53.337132, 'lng': -6.26059}",1521487029000,False,NEWMAN HOUSE,9,Dublin,OPEN
Sir Patrick's Dun,58,19,True,40,"{'lat': 53.339218, 'lng': -6.240642}",1521487134000,False,SIR PATRICK DUN'S,21,Dublin,OPEN
New Central Bank,66,32,False,40,"{'lat': 53.347122, 'lng': -6.234749}",1521486813000,False,NEW CENTRAL BANK,8,Dublin,OPEN
King Street North,101,23,False,30,"{'lat': 53.350291, 'lng': -6.273507}",1521486777000,False,KING STREET NORTH,7,Dublin,OPEN
Herbert Street,47,3,False,40,"{'lat': 53.335742, 'lng': -6.24551}",1521487210000,False,HERBERT STREET,37,Dublin,OPEN
Custom House Quay,8,13,False,30,"{'lat': 53.347884, 'lng': -6.248048}",1521486898000,False,CUSTOM HOUSE QUAY,17,Dublin,OPEN
Molesworth Street,27,12,False,20,"{'lat': 53.341288, 'lng': -6.258117}",1521487098000,False,MOLESWORTH STREET,8,Dublin,OPEN
Georges Quay,16,3,False,20,"{'lat': 53.347508, 'lng': -6.252192}",1521487224000,False,GEORGES QUAY,17,Dublin,OPEN
Kilmainham Lane,96,30,False,30,"{'lat': 53.341805, 'lng': -6.305085}",1521487141000,False,KILMAINHAM LANE,0,Dublin,OPEN
Mount Brown,82,14,False,22,"{'lat': 53.341645, 'lng': -6.29719}",1521487044000,False,MOUNT BROWN,8,Dublin,OPEN
Market Street South,76,28,False,38,"{'lat': 53.342296, 'lng': -6.287661}",1521487055000,False,MARKET STREET SOUTH,10,Dublin,OPEN
Kevin Street,71,23,True,40,"{'lat': 53.337757, 'lng': -6.267699}",1521486777000,False,KEVIN STREET,17,Dublin,OPEN
Eccles Street East,79,27,False,27,"{'lat': 53.358115, 'lng': -6.265601}",1521486856000,False,ECCLES STREET EAST,0,Dublin,OPEN
Grand Canal Dock,69,5,False,40,"{'lat': 53.342638, 'lng': -6.238695}",1521487047000,False,GRAND CANAL DOCK,35,Dublin,OPEN
Merrion Square East,25,0,False,30,"{'lat': 53.339434, 'lng': -6.246548}",1521487070000,False,MERRION SQUARE EAST,30,Dublin,CLOSED
York Street West,51,22,False,40,"{'lat': 53.339334, 'lng': -6.264699}",1521487172000,False,YORK STREET WEST,18,Dublin,OPEN
St. Stephen's Green South,37,25,True,30,"{'lat': 53.337494, 'lng': -6.26199}",1521486775000,False,ST. STEPHEN'S GREEN SOUTH,5,Dublin,OPEN
Denmark Street Great,59,19,False,20,"{'lat': 53.35561, 'lng': -6.261397}",1521487143000,False,DENMARK STREET GREAT,1,Dublin,OPEN
Royal Hospital,95,34,True,40,"{'lat': 53.343897, 'lng': -6.29706}",1521487232000,False,ROYAL HOSPITAL,6,Dublin,OPEN
Heuston Station (Car Park),94,17,False,40,"{'lat': 53.346985, 'lng': -6.297804}",1521486688000,False,HEUSTON STATION (CAR PARK),23,Dublin,OPEN
St. Stephen's Green East,36,19,True,40,"{'lat': 53.337824, 'lng': -6.256035}",1521487190000,False,ST. STEPHEN'S GREEN EAST,21,Dublin,OPEN
Heuston Station (Central),93,0,False,40,"{'lat': 53.346603, 'lng': -6.296924}",1521486815000,False,HEUSTON STATION (CENTRAL),40,Dublin,OPEN
Townsend Street,22,14,False,20,"{'lat': 53.345922, 'lng': -6.254614}",1521487120000,False,TOWNSEND STREET,6,Dublin,OPEN
Eccles Street,12,20,False,20,"{'lat': 53.359246, 'lng': -6.269779}",1521487098000,False,ECCLES STREET,0,Dublin,OPEN
Portobello Harbour,34,1,False,30,"{'lat': 53.330362, 'lng': -6.265163}",1521487210000,False,PORTOBELLO HARBOUR,29,Dublin,OPEN
